file1	file2	out
B1_SN1_s	high_s	B1_SN1_s_high
B1_SN2_s	high_s	B1_SN2_s_high
B1_SN3_s	high_s	B1_SN3_s_high
B1_SN4_s	high_s	B1_SN4_s_high
B1_SN7_s	high_s	B1_SN7_s_high
B1_SN8_s	high_s	B1_SN8_s_high
B1_SN13_s	high_s	B1_SN13_s_high
B1_SN14_s	high_s	B1_SN14_s_high
B1_SN15_s	high_s	B1_SN15_s_high
B1_SN17_s	high_s	B1_SN17_s_high
B1_SN20_s	high_s	B1_SN20_s_high
B2_SN5_s	high_s	B2_SN5_s_high
B2_SN9_s	high_s	B2_SN9_s_high
B2_SN10_s	high_s	B2_SN10_s_high
B2_SN16_s	high_s	B2_SN16_s_high
B2_SN18_s	high_s	B2_SN18_s_high
B2_SN19_s	high_s	B2_SN19_s_high
B2_SN21_s	high_s	B2_SN21_s_high
B1_SN1_s	mid_s	B1_SN1_s_mid
B1_SN2_s	mid_s	B1_SN2_s_mid
B1_SN3_s	mid_s	B1_SN3_s_mid
B1_SN4_s	mid_s	B1_SN4_s_mid
B1_SN7_s	mid_s	B1_SN7_s_mid
B1_SN8_s	mid_s	B1_SN8_s_mid
B1_SN13_s	mid_s	B1_SN13_s_mid
B1_SN14_s	mid_s	B1_SN14_s_mid
B1_SN15_s	mid_s	B1_SN15_s_mid
B1_SN17_s	mid_s	B1_SN17_s_mid
B1_SN20_s	mid_s	B1_SN20_s_mid
B2_SN5_s	mid_s	B2_SN5_s_mid
B2_SN9_s	mid_s	B2_SN9_s_mid
B2_SN10_s	mid_s	B2_SN10_s_mid
B2_SN16_s	mid_s	B2_SN16_s_mid
B2_SN18_s	mid_s	B2_SN18_s_mid
B2_SN19_s	mid_s	B2_SN19_s_mid
B2_SN21_s	mid_s	B2_SN21_s_mid
B1_SN1_s	low_s	B1_SN1_s_low
B1_SN2_s	low_s	B1_SN2_s_low
B1_SN3_s	low_s	B1_SN3_s_low
B1_SN4_s	low_s	B1_SN4_s_low
B1_SN7_s	low_s	B1_SN7_s_low
B1_SN8_s	low_s	B1_SN8_s_low
B1_SN13_s	low_s	B1_SN13_s_low
B1_SN14_s	low_s	B1_SN14_s_low
B1_SN15_s	low_s	B1_SN15_s_low
B1_SN17_s	low_s	B1_SN17_s_low
B1_SN20_s	low_s	B1_SN20_s_low
B2_SN5_s	low_s	B2_SN5_s_low
B2_SN9_s	low_s	B2_SN9_s_low
B2_SN10_s	low_s	B2_SN10_s_low
B2_SN16_s	low_s	B2_SN16_s_low
B2_SN18_s	low_s	B2_SN18_s_low
B2_SN19_s	low_s	B2_SN19_s_low
B2_SN21_s	low_s	B2_SN21_s_low
